,Model Name,Mean Square Error,Mean Absolute Error,R2 Score
1,Ridge,1.2744350751130504,1.2744350751130504,0.703104060435781
3,BayesianRidge,2.0577752743556568,2.0577752743556568,0.5206149489901268
5,RandomForestRegressor,2.2506465794988615,2.2506465794988615,0.47568311332922486
0,LinearRegression,2.6695863656322842,2.6695863656322842,0.37808573559393144
6,KNeighborsRegressor,3.0857804738041,3.0857804738041,0.28112799863286864
7,MLPRegressor,4.301386243723181,4.301386243723181,-0.0020629023769740407
2,Lasso,4.304860544447257,4.304860544447257,-0.002872285136399144
4,ElasticNet,4.304860544447257,4.304860544447257,-0.002872285136399144
