,Name,Model_Projection_Fantasy_Points,Actual_Fantasy_Points,ADP
0,Brent Suter,104.57775280491028,22.099999999999994,906.5
1,Devin Williams,95.74583456647274,394.2,59.6
2,Ryan Helsley,94.99411138088544,218.0,89.4
3,Chris Stratton,94.86666937607905,71.10000000000002,
4,Daniel Bard,86.44527023842873,303.2,153.4
5,Clay Holmes,83.76370447556977,168.0,131.4
6,Diego Castillo,81.87673672254971,237.10000000000002,485.6
7,Jonathan Loaisiga,81.29818139475093,104.1,452.2
8,Bryan Shaw,77.0744356852155,-24.900000000000006,
9,Tim Hill,76.24753877718402,25.19999999999999,
10,Alex Reyes,76.21307186916845,181.0,522.0
11,Tim Mayza,75.8477961681066,114.19999999999999,
12,Adam Ottavino,74.1323974261969,167.0,488.8
13,Andrew Kittredge,73.9852639340819,144.0,543.5
14,Paul Sewald,72.77905614479336,285.2,181.2
15,Jordan Romano,67.09596304002041,444.20000000000005,67.6
16,Josh Fleming,65.93345393200097,-31.0,
17,Adam Cimber,64.61101677478251,70.19999999999999,577.0
18,Genesis Cabrera,64.39431317554057,76.0,
19,Chad Green,64.10646746847029,159.1,681.5
20,Camilo Doval,64.0297187601741,203.2,105.2
21,Blake Treinen,63.92871364143074,172.0,498.5
22,Jeurys Familia,63.465555549327526,-24.900000000000006,824.0
23,Yusmeiro Petit,62.20633222640506,45.2,
24,Codi Heuer,61.97445540445592,57.0,
601,Evan Phillips,59.900120382760626,124.19999999999999,231.2
794,Garrett Whitlock,58.35539849162101,149.2,284.8
795,Aroldis Chapman,58.34434782337683,251.10000000000002,297.6
796,Caleb Thielbar,58.239858183348524,134.1,851.5
797,Tyler Rogers,56.586041883021046,143.2,506.3
798,Yimi Garcia,56.253917492441836,153.2,693.0
1183,Jose Alvarado,54.91628758455867,125.19999999999999,448.6
1184,Craig Stammen,54.82173602096463,42.0,
1569,Liam Hendriks,53.97801398164487,619.0,244.4
1570,John King,53.78667256839848,-44.8,
1571,Mychal Givens,53.62846818934384,100.19999999999999,
1572,Keegan Thompson,53.43588001090058,59.19999999999999,479.0
1573,Kyle Funkhouser,53.06868097738002,-28.799999999999997,
1574,Michael King,52.87291002003851,90.1,457.4
1575,Matt Foster,52.23233313517128,0.20000000000000284,
1960,J.P. Feyereisen,51.64613641159013,96.19999999999999,843.0
1961,Kyle Finnegan,51.61156043048666,153.10000000000002,358.8
1962,Scott Barlow,51.38828063562186,341.2,151.4
2155,Tony Watson,50.6741010195984,72.1,
2348,Cionel Perez,50.07433794139762,65.0,803.0
2349,JT Chargois,50.047811580858635,66.0,
2350,Caleb Baragar,49.890791434182745,31.099999999999994,
2351,Jose Alvarez,49.129692424034445,26.200000000000003,
2352,Brad Hand,48.83517693221173,228.2,869.5
2353,Ryan Yarbrough,48.80663365606371,-38.8,709.5
2354,Lucas Sims,48.65951098827024,100.1,755.0
2355,Alexis Diaz,48.57967247387997,134.2,156.8
2356,Jhoulys Chacin,48.4026044966141,-68.8,
2357,Adrian Morejon,48.1929845987925,6.0,570.5
2358,Colin Holderman,47.71881167965975,4.100000000000001,
2359,Seranthony Dominguez,47.61331699420344,96.0,276.0
2360,Robert Suarez,47.277681073051774,62.2,374.2
2361,Archie Bradley,46.92018656272245,58.0,
2362,Daniel Hudson,46.83893984003576,162.2,337.0
2555,Kenley Jansen,46.37459741369335,533.1,99.0
2556,Miguel Castro,46.2535220971635,35.0,
2749,Jonathan Hernandez,46.14784658552072,39.099999999999994,551.7
2750,Reynaldo Lopez,45.47240671962705,59.2,499.3
3135,Pete Fairbanks,44.75827283959966,163.2,193.6
3136,Dylan Floro,44.592716424980445,170.0,288.4
3137,Steven Okert,44.290342993065096,66.1,
3138,Mark Melancon,43.824351128251685,272.1,468.6
3139,Aaron Bummer,43.434675651813116,106.1,
3140,Wandy Peralta,42.90995632246481,58.0,628.5
3141,Manuel Rodriguez,42.569306369880344,4.100000000000001,721.0
3142,Victor Gonzalez,42.33640912378982,58.0,
3143,Jharel Cotton,42.30034084146673,-0.7999999999999972,
3144,Dominic Leone,42.15186014003997,65.1,
3145,Griffin Jax,42.08202014829117,43.0,664.5
3146,Aaron Loup,41.94521153253961,101.1,
3147,Rafael Montero,41.62410975238369,172.10000000000002,308.2
3148,David Price,41.5924852612935,11.200000000000003,
3149,Dillon Peters,41.5672939118016,-7.899999999999999,
3150,Blake Taylor,41.44766962589405,10.099999999999994,
3151,Trevor May,40.835761250406115,128.0,395.2
3152,Raisel Iglesias,40.75912920171048,444.0,78.4
3153,Corey Knebel,40.65775512148432,80.0,831.5
3154,Richard Rodriguez,40.56362716567588,133.2,
3155,Kendall Graveman,40.45744444154562,181.0,250.8
3156,Travis Bergen,39.51693309163883,6.0,
3157,Luis Cessa,38.90133048189664,12.0,
3158,Brusdar Graterol,38.8987685233446,36.0,454.8
3159,Collin McHugh,38.66113911123629,127.1,513.5
3160,Tyler Matzek,38.64146659298942,99.19999999999999,
3161,Jeremy Jeffress,38.424313150748645,58.099999999999994,
3162,Ryan Borucki,38.25545264186117,-4.799999999999997,
3163,Clarke Schmidt,38.158365567586806,16.099999999999994,518.3
3164,Joe Jimenez,37.80659782067197,49.19999999999999,550.3
3165,Darren O'Day,37.773834157418385,43.2,
3166,Greg Weissert,37.71836018876697,3.0999999999999996,
3167,Alex Vesia,37.71070626275826,125.19999999999999,542.3
3168,J.B. Wendelken,37.339589113275686,-0.7999999999999972,
3169,Drew Smith,37.20061191619984,53.099999999999994,
3170,Trevor Richards,37.03241852729997,22.099999999999994,
3171,Ranger Suarez,36.405121235341724,25.099999999999994,246.0
3172,Jose Cisnero,36.32346246006565,76.1,
3173,Chase De Jong,36.203744346659114,10.099999999999994,
3174,Jarlin Garcia,35.248219886708476,77.0,
3175,Erik Swanson,35.14396979605761,56.0,448.4
3176,Alex Lange,35.14396979605761,56.0,267.0
3177,Brock Burke,35.123411819759276,64.1,474.6
3178,Wil Crowe,35.10848958064037,-4.799999999999997,852.0
3179,Tanner Houck,34.58374170159531,65.2,386.2
3180,Matt Moore,34.397734579367935,87.19999999999999,731.0
3181,Kirk McCarty,34.35907291202806,0.20000000000000284,
3182,Sean Reid-Foley,34.19364394000592,-11.899999999999999,
3183,Lou Trivino,34.10282956015808,137.2,534.8
3184,Nick Vespi,34.00214039829036,8.100000000000001,
3185,Justin Steele,33.97731414640317,18.1,305.8
3186,Hector Neris,33.83181920956446,193.10000000000002,498.3
3187,Michael Fulmer,33.83123659438005,141.2,755.5
3188,Heath Hembree,33.60732092025169,-12.0,
3189,Josh Staumont,33.53892859312613,92.0,
3190,Austin Warren,33.36046859070439,9.100000000000001,
3191,Nick Sandlin,33.12030367271394,52.2,
3192,Enoli Paredes,33.01513847496442,-10.899999999999999,
3193,Brandon Bielak,32.97136749064774,-30.0,
3194,Junior Guerra,32.93182636461385,-63.0,
3195,Trevor Stephan,32.54396398199814,81.0,684.5
3196,John Curtiss,32.46605646550796,45.0,
3197,Connor Brogdon,32.33300807688196,58.0,
3198,Blake Parker,31.675352133717602,13.200000000000003,
3199,Ryan Burr,31.654404603774857,-3.799999999999997,
3200,T.J. McFarland,31.58770532307973,-27.0,
3201,Ryan Thompson,31.536388345741493,55.0,
3202,Ryan Hendrix,31.446954196843784,-22.0,
3203,Anthony Gose,31.2226583127948,11.200000000000003,
3204,Dylan Coleman,31.148656635346548,47.099999999999994,623.0
3205,Jose Cuas,31.116261872608312,3.200000000000003,
3206,Bryan Garcia,31.098020918845116,-30.0,
3207,Drew VerHagen,31.061412413904584,-27.8,
3208,Matthew Boyd,31.018624636517522,14.100000000000001,442.0
3209,Alex Colome,30.8767664145401,92.10000000000002,625.0
3210,Joey Krehbiel,30.864978842909686,5.0,
3211,Jonathan Holder,30.778718772802314,-18.8,
3212,Zack Littell,30.75079670070494,15.099999999999994,
3213,James Karinchak,30.700651224570336,219.10000000000002,372.0
3214,Matt Brash,30.599990261674307,40.2,439.0
3215,Art Warren,30.514563104543015,18.0,
3216,Giovanny Gallegos,30.475318119429026,303.1,280.2
3217,Domingo Tapia,30.104575981485475,-26.0,
3218,Enyel De Los Santos,29.717333258910365,11.200000000000003,
3219,Yusei Kikuchi,29.56137981165832,12.100000000000001,424.8
3220,Kyle Zimmer,29.553893799977295,18.0,
3221,Hirokazu Sawamura,29.53959491145411,8.199999999999989,
3222,Trevor Gott,29.456031435073484,7.100000000000001,
3223,Brad Boxberger,29.37096872700854,163.2,490.0
3224,Thomas Hatch,29.33015525162135,-2.8000000000000007,
3225,Jake Diekman,29.228242972562782,127.19999999999999,867.5
3226,Travis Lakins Sr.,29.20086276599457,-43.9,
3227,Jacob Webb,29.15273417599777,-3.8999999999999986,
3228,Reiver Sanmartin,29.130620705286596,16.200000000000003,
3229,Kutter Crawford,28.88642500223645,-6.0,612.5
3230,Adbert Alzolay,28.872916666117547,43.2,454.5
3231,Sam Howard,28.787041224314507,-8.0,
3424,Yacksel Rios,28.44291020079182,-8.899999999999999,
3617,Anthony Bass,28.127784920804025,140.1,602.8
3618,Bryan Abreu,28.004602374350206,60.19999999999999,459.5
3619,Nate Pearson,28.000264426063588,13.100000000000001,537.5
3620,Carl Edwards Jr.,27.978520461625962,37.099999999999994,794.5
3621,Stephen Tarpley,27.92742885733768,-21.0,
3622,Jose Suarez,27.824569551165766,23.0,351.5
3623,Collin Snider,27.72731794164018,-34.9,
3624,Jordan Hicks,27.679962385948258,13.0,570.0
3625,Jesse Chavez,27.665097560331198,19.0,
3626,Jake Brentz,27.642347396420945,3.0999999999999943,
3627,Gregory Soto,27.58421920977794,247.0,297.8
3628,Sean Newcomb,27.553116107079894,-43.0,
3629,Greg Holland,27.462823324835007,70.19999999999999,
3822,Jordan Holloway,27.162708849075038,23.0,
3823,Angel Perdomo,27.144239483961236,-22.8,
3824,Tanner Scott,27.092539236072994,116.10000000000002,558.5
4017,Austin Adams,27.02487169761386,22.0,
4018,Drew Hutchison,27.02149598431101,-11.0,763.5
4019,Matt Gage,26.878874420018683,5.0,
4020,Justus Sheffield,26.513892597056625,-12.9,
4021,John Brebbia,26.443441046419252,5.099999999999994,
4022,Steven Wilson,26.428285618379014,25.0,
4023,Eli Morgan,26.349757434669996,48.2,717.0
4024,Jeffrey Springs,26.254904250877985,52.099999999999994,161.2
4025,A.J. Cole,25.804252702065106,23.1,
4026,Miguel Diaz,25.728493520741438,17.200000000000003,
4027,Rafael Dolis,25.565611485882286,44.0,
4092,Jake Cousins,25.478144200409396,42.099999999999994,
4093,Andre Pallante,25.472506399999666,1.2000000000000028,785.0
4158,Yohan Ramirez,25.396522703781343,17.19999999999999,
4159,Devin Smeltzer,25.353711311936138,-7.0,
4160,Michael Lorenzen,25.3498722284776,-1.0,417.3
4161,Dylan Lee,25.265894702347374,56.2,
4162,Chris Martin,25.24572523384935,110.1,594.0
4163,Paul Fry,25.15595051215864,1.0999999999999943,
4164,Jay Jackson,25.154487645610196,21.200000000000003,
4165,Luis Patino,25.071543570764902,9.200000000000003,527.3
4166,Richard Bleier,25.01275303680373,42.099999999999994,
4167,Zack Thompson,24.890739307701885,28.200000000000003,
4168,Kyle Crick,24.83474668977832,-1.7999999999999972,
4169,Corbin Burnes,24.79423766557388,5.199999999999999,14.8
4170,Dietrich Enns,24.72283668492183,24.1,
4171,Tyler Danish,24.666022525509874,-19.9,
4172,Phil Maton,24.576897876189143,17.19999999999999,
4173,Peter Solomon,24.531246644067544,4.0,
4174,Pierce Johnson,24.50221935403294,58.0,
4175,Drew Smyly,24.448110447320005,14.0,417.0
4176,Justin Garza,24.3937593700929,-16.8,
4177,Seth Lugo,24.285322729239184,99.19999999999999,514.7
4178,Deolis Guerra,24.17972204848325,-14.0,
4435,Jake Woodford,23.561911572588706,-30.799999999999997,
4436,Austin Voth,23.134629441127792,-70.8,608.0
4629,Chaz Roe,23.029377066060043,10.0,
4694,Kyle Barraclough,22.905326189128267,2.0,
4695,Zack Weiss,22.89885115367131,6.100000000000001,
4760,Erasmo Ramirez,22.872280178662272,15.099999999999994,
4761,Freddy Peralta,22.871261597417664,25.0,144.0
4762,Ryan Pressly,22.84760252473501,441.1,73.4
4763,Jakob Junis,22.791347673101043,-12.0,564.0
4956,Tyler Alexander,22.766994225470185,-5.900000000000006,
4957,Miguel Sanchez,22.65205166001582,-22.9,
4958,Jose Marte,22.650792697339085,-27.0,
4959,Bennett Sousa,22.567785280203893,-21.9,
5024,A.J. Minter,22.525812514221812,218.0,316.0
5025,Craig Kimbrel,22.496496784164243,317.0,235.2
5090,Matt Peacock,22.366386938863563,-62.9,
5091,Alex Young,22.360122066135943,-46.0,
5092,Brooks Kriske,22.287566421281547,-47.0,
5093,Dan Altavilla,22.26937732989073,-2.8000000000000007,
5094,Mike Mayers,22.075964076039824,76.1,
5223,Noe Ramirez,21.902940040449053,6.0,
5224,Juan Minaya,21.841835984021927,22.200000000000003,
5225,Chris Rodriguez,21.83079482520045,-1.8000000000000007,
5226,Brett Martin,21.82241528155606,-5.0,
5227,Lucas Gilbreath,21.740759545190116,28.200000000000003,
5228,Scott Alexander,21.692948395746456,22.200000000000003,
5229,Albert Abreu,21.675700328591475,-26.799999999999997,
5230,David Peterson,21.671667840117365,5.199999999999999,356.0
5423,Cody Stashak,21.554765383598372,24.0,
5552,Felix Bautista,21.450829128051232,158.2,91.0
5553,Justin Wilson,21.44908795595898,5.100000000000001,
5874,Trevor Megill,21.1849476818376,-51.8,
5875,Penn Murfee,21.06991188851621,51.099999999999994,874.0
5876,Dillon Maples,21.054204296224697,0.10000000000000142,
5877,Nabil Crismatt,21.051824435628355,-9.0,
5878,Brad Brach,21.036012966111187,-18.9,
5879,David Robertson,20.869385512441234,135.2,368.8
5880,Justin Lawrence,20.86389520070844,-42.9,
5881,Colin Poche,20.782084066261973,80.2,843.0
5882,Jake McGee,20.777230124514148,198.0,711.0
5947,Josh Sborz,20.592336860049116,5.200000000000003,
6012,Josh Osich,20.510209142049348,-3.799999999999997,
6013,Anthony Kay,20.50461478984895,-31.9,
6078,Jackson Stephens,20.454070500143175,4.200000000000003,
6079,Danny Coulombe,20.445902460746588,4.200000000000003,
6080,Luis Perdomo,20.412896197222423,-12.0,
6081,Huascar Ynoa,20.412896197222423,-12.0,685.5
6082,Zach Pop,20.39907731477932,-20.799999999999997,
6147,Adam Kolarek,20.330139647884828,-18.799999999999997,
6148,Ian Kennedy,20.294870218633655,128.2,
6149,Kwang-hyun Kim,20.140376965989944,7.0,
6150,Spencer Strider,20.090050341711212,26.200000000000003,34.8
6151,Jacob Barnes,20.088074955475086,-39.0,
6280,Joe Smith,19.789097241919563,-24.0,
6281,Derek Law,19.68801982000847,-20.799999999999997,
6282,A.J. Alexy,19.66897244549724,-38.8,
6283,Touki Toussaint,19.645923248608568,-22.8,
6284,Geoff Hartlieb,19.626323954490857,-30.9,
6285,Chris Flexen,19.606455534301872,17.200000000000003,550.5
6286,Drew Steckenrider,19.50348207701292,102.0,
6287,Garrett Cleavinger,19.47734594761367,-1.7999999999999972,
