,Name,Model_Projection_Fantasy_Points,Actual_Fantasy_Points,ADP
0,Jose Altuve,881.8505988787562,1153,30.4
1,Marcus Semien,877.714639411967,1201,30.2
2,Jake Cronenworth,765.3605432013409,995,163.0
3,Max Muncy,757.6509065050418,929,133.6
4,Tommy Edman,740.0392302413468,934,79.4
5,Whit Merrifield,718.9730248162726,980,166.4
9,Ty France,713.9194273612605,876,162.6
10,Brandon Lowe,712.1426535944621,762,152.4
11,Jeff McNeil,707.7899414067214,771,177.0
12,Ozzie Albies,687.790747458715,784,50.6
13,Kolten Wong,684.9359384642805,745,255.4
14,Luis Arraez,672.7269324519349,781,203.6
15,Chris Taylor,669.9876719596808,659,361.4
16,Jean Segura,654.4547798883186,714,252.8
17,Ketel Marte,652.6109785975921,749,197.4
18,Tony Kemp,640.7532299766383,614,393.3
19,Cesar Hernandez,640.1493556766694,725,489.0
20,Adam Frazier,627.9624546735479,800,384.2
21,Jonathan India,618.473628683008,613,185.0
22,Josh Rojas,616.7561527864045,612,218.2
23,Enrique Hernandez,605.935062028605,676,
24,Jonathan Schoop,574.6726817353021,701,448.4
25,Gavin Lux,558.6389969352504,501,244.2
26,Josh Harrison,552.9508505468493,586,584.5
27,Brendan Rodgers,549.2925120990831,598,237.2
28,David Fletcher,545.6468539786097,605,486.5
29,Thairo Estrada,537.5320603698018,434,197.2
30,Nico Hoerner,534.8828227755209,486,186.2
31,Donovan Solano,528.724051951546,443,
32,Dylan Moore,522.9221708600194,425,429.0
33,Matt Carpenter,514.769382259675,312,361.0
34,Jon Berti,511.2082812153948,414,271.8
35,Hanser Alberto,505.97262226104635,367,716.0
36,Ramon Urias,498.6300993715314,407,397.0
37,Jace Peterson,497.6591072165172,358,539.5
38,Rougned Odor,492.60451269239934,451,641.0
39,Garrett Hampson,491.6910086375692,402,608.3
40,Nick Solak,486.06919934111556,394,533.7
41,Tommy La Stella,480.79530992618726,425,868.0
42,Brendan Donovan,479.21217393984017,276,313.0
43,Willi Castro,473.08003665241347,471,648.7
44,Leury Garcia,449.4171980758264,383,878.5
45,Harold Castro,443.9756656663895,385,663.0
46,Christian Arroyo,434.8236851153694,313,412.8
47,Jed Lowrie,430.954179555089,348,
48,Mike Brosseau,427.4466148211877,207,875.5
49,Luis Garcia,414.1219480827381,393,317.0
50,Luis Garcia,414.1219480827381,393,343.3
51,Luis Garcia,414.1219480827381,393,353.3
52,Mauricio Dubon,410.8312169967549,313,596.0
56,Nick Madrigal,409.01327189946096,288,551.5
57,Michael Chavis,386.04475088978984,280,786.5
58,David Bote,382.084058149611,273,858.5
59,Andy Ibanez,379.8118498220374,221,855.5
60,Owen Miller,374.5912353762508,290,623.0
61,Robinson Cano,372.614510057513,159,
70,Wilmer Difo,364.37753456092815,115,
71,Josh VanMeter,364.203688426034,226,
72,Zach McKinstry,363.187316939376,171,612.5
76,Marwin Gonzalez,362.7513477790422,257,
77,Rodolfo Castro,358.7074175096618,173,378.5
78,Danny Mendick,338.3342901559927,184,854.5
79,Josh Smith,278.47656592322113,81,695.0
80,Johan Camargo,277.8713063313191,102,
81,Ernie Clement,269.0532746894955,109,
85,Sheldon Neuse,222.38678084744342,96,
