,Name,Model_Projection_Sum_of_W_SV_HLD,Actual_Sum_of_W_SV_HLD,ADP
10429,Freddy Peralta,-2.8710322432372792,6,144.0
10558,Jose Cuas,-2.8835271868919863,16,
10559,Dakota Bacus,-2.8922178840217794,2,
10592,Matthew Festa,-2.9035161826202804,10,
10625,Devin Smeltzer,-2.919927062493665,3,
10626,Kaleb Ort,-2.9203119923163436,3,
10627,Eduard Bazardo,-2.920728529767395,1,
10628,Patrick Sandoval,-2.929214477273878,2,204.2
10629,Louis Head,-2.946073613794833,4,
10630,Jared Hughes,-2.949637685508375,3,
10631,Bryse Wilson,-2.9553604602894845,1,746.5
10792,Brad Keller,-2.978401073718599,2,773.5
10793,Tyler Webb,-2.979669372388518,6,
10826,Sam Selman,-2.989818451963891,6,
10827,Eric Yardley,-2.996372278353245,4,
10988,Adrian Sampson,-3.0288908764377407,0,608.0
11021,Adrian Houser,-3.0344078297688486,1,676.0
11182,Victor Arano,-3.088022173937796,9,
11183,Bruce Zimmermann,-3.0929261843767475,2,
11184,Jose Quintana,-3.1231711997091143,2,333.8
11185,Corbin Martin,-3.1299946925573394,0,
11186,Thomas Eshelman,-3.135359540021414,2,
11219,Bailey Falter,-3.162359984381431,4,443.5
11252,Kyle Barraclough,-3.1769629630064324,5,
11285,Kervin Castro,-3.20919258285708,1,
11318,Sam Clay,-3.216708042900141,11,
11319,Luis Avilan,-3.2294282753835093,0,
11448,Aaron Sanchez,-3.247107584056325,0,
11449,Eric Lauer,-3.274799555681137,0,347.4
11450,Shelby Miller,-3.2765344156914917,2,823.0
11451,David Hale,-3.282931671323812,1,
11452,Cam Bedrosian,-3.2900123770676455,1,
11581,Zack Thompson,-3.303867216191317,2,
11614,Mike Baumann,-3.3179374223778653,4,909.5
11615,Ryan Weber,-3.325436471541338,7,
11616,Jordan Lyles,-3.326032990637355,1,490.5
11617,Calvin Faucher,-3.3265339008321995,4,
11682,Jake Jewell,-3.3318250286018536,0,
11747,John Curtiss,-3.351134174091592,12,
11876,James Kaprielian,-3.3768947378269063,0,496.0
11877,Tyler Cyr,-3.3768947378269063,0,
11910,Cristopher Sanchez,-3.4005248868547495,3,
11911,Ben Bowden,-3.401383278670648,4,
11912,Taylor Williams,-3.4082800668278423,9,
12009,Yennier Cano,-3.4520354310919235,1,
12010,Adonis Medina,-3.4548513519528328,2,
12171,Sam Moll,-3.504818322162077,18,
12172,Geoff Hartlieb,-3.5152836515635126,6,
12205,Joey Gerber,-3.543575068780039,5,
12302,Triston McKenzie,-3.6216059656105895,0,88.8
12335,Dylan Covey,-3.622912764750978,1,
12400,Norge Ruiz,-3.6391569788311555,1,
12465,Anderson Espinoza,-3.6813252364346134,0,
12466,Dan Altavilla,-3.688483962754313,6,
12595,Kyle Ryan,-3.7048699860126586,7,
12596,J.B. Bukauskas,-3.7311746880837022,3,
12981,Jandel Gustave,-3.819026584387523,5,
12982,Nestor Cortes,-3.835031049319556,0,
13079,Luke Bard,-3.859941643681938,2,
13080,Fernando Cruz,-3.8663268052253614,1,
13081,Jose De Leon,-3.8690173730220714,0,
13082,Wade LeBlanc,-3.878500003895823,0,
13083,Collin Snider,-3.892344247001561,11,
13180,Jared Koenig,-3.9132995423719246,0,
13181,Matthew Boyd,-3.9433687886773736,3,442.0
13246,Nate Pearson,-3.984142587610641,2,537.5
13247,DL Hall,-3.991122461410868,2,438.5
13696,Jeremy Beasley,-4.138430530403112,0,
13729,Yunior Marte,-4.151714063139526,3,
13858,Jesus Tinoco,-4.186698742018582,4,
13859,Jimmie Sherfy,-4.196884133528898,2,
13860,Grant Dayton,-4.230025091063842,3,
14085,JC Mejia,-4.269398084315441,1,
14470,Ervin Santana,-4.411783086193827,2,
14567,Kyle Keller,-4.47491030462232,3,
14696,Nick Vespi,-4.486226086988804,7,
14793,Robert Dugger,-4.498157196774814,0,
15082,Steven Matz,-4.6020637252768,3,362.7
15083,Mauricio Llovera,-4.617601421072533,2,
15180,Jefry Rodriguez,-4.624516475408132,0,
15181,Jay Jackson,-4.628589240844727,5,
15182,Penn Murfee,-4.647270641075569,11,874.0
15183,Matt Brash,-4.651096075298062,12,439.0
15184,Richard Lovelady,-4.670827778378584,7,
15505,Peter Solomon,-4.779762648630358,1,
15634,Sean Reid-Foley,-4.799329316645642,3,
15635,Chi Chi Gonzalez,-4.802429293444359,1,
15956,Alberto Baldonado,-4.883091167714364,3,
15989,Jordan Holloway,-4.90284985149796,2,
16214,Andrew Nardi,-4.970239254217955,2,
16215,Luis Patino,-5.029599019409197,4,527.3
16216,Drew Pomeranz,-5.032404926913881,28,
16217,Hector Santiago,-5.042419157506768,1,
16218,Kyle Tyler,-5.046860280708155,1,
16219,Connor Overton,-5.047609802113145,0,
16220,Jose Marte,-5.0502085542621185,0,
16317,Josh Rogers,-5.1249017783294075,2,
16318,Hector Rondon,-5.131059085557981,8,
16543,Daulton Jefferies,-5.229856500691788,0,
16544,Kyle McGowin,-5.236744196667147,4,
16545,Thomas Szapucki,-5.244502171684228,1,
16546,Oliver Ortega,-5.248939055797752,8,
16547,Jacob Waguespack,-5.277931494774376,1,
16644,Andrew Heaney,-5.293880224998854,1,213.8
16645,Trevor Kelley,-5.329647907496654,3,
16646,Sean Guenther,-5.339490204318601,0,
16679,Ramon Rosso,-5.3853664773299466,0,
16680,Jimmy Cordero,-5.393378164237023,9,
16681,Adam Kolarek,-5.396955932597283,7,
16778,Davis Martin,-5.472656543910401,1,768.0
16971,Jimmy Nelson,-5.547315967111512,7,
16972,Anthony Gose,-5.601579782738527,3,
16973,Seth Elledge,-5.613080258261863,1,
17070,Zach Eflin,-5.642753657124853,3,340.8
17071,Edgar Santana,-5.717127812182621,6,
17072,Dovydas Neverauskas,-5.741932203507021,0,
17073,Wyatt Mills,-5.767634880149891,4,
17074,James Hoyt,-5.798920334595259,7,
17075,Spencer Strider,-5.864005589066613,4,34.8
17076,Corbin Burnes,-5.866581900341274,0,14.8
17077,Sean Hjelle,-5.879046550915053,1,
17078,Justin Miller,-5.909362998502122,4,
17079,James Norwood,-6.042977424731838,2,
17080,Justin Topa,-6.054801834706997,1,
17081,Reymin Guduan,-6.062768981962272,0,
17082,Keury Mella,-6.08086183537753,2,
17083,Daniel Castano,-6.09741635034839,1,
17084,Edwin Uceta,-6.113453059379349,0,
17085,Drew Smyly,-6.138095382371716,2,417.0
17086,Wilmer Font,-6.146733552786628,3,
17087,Greg Weissert,-6.192528958498098,4,
17088,Walker Lockett,-6.216230619848627,1,
17089,Dellin Betances,-6.313625952185346,4,
17090,Colin Rea,-6.314585884491327,2,
17091,Robert Stock,-6.337438522876837,0,
17092,Conner Menez,-6.347760968159813,3,
17093,Cody Stashak,-6.399403694239454,12,
17094,Adbert Alzolay,-6.6124285811636945,5,454.5
17095,Tyler Anderson,-6.696989797934242,1,214.2
17096,Brad Wieck,-6.710866710493903,1,
17097,Adam Conley,-7.09816405594609,0,
17098,Nick Anderson,-7.304391916106779,15,
17099,Will Harris,-7.3461982002999715,7,
17100,Kent Emanuel,-7.354231443996619,2,
17101,Randy Dobnak,-7.432327259053762,1,
17102,Ryan Buchter,-7.699522648837899,2,
17103,Ljay Newsome,-7.720044787761933,1,
17104,Jhonathan Diaz,-7.749732940883966,1,
17105,Jake Fishman,-7.788066460378765,2,
17106,Andrew Vasquez,-7.87683808398242,0,
17107,Patrick Murphy,-7.901242664446398,5,
17108,Ryan Weathers,-8.100400979850031,3,
17109,Phoenix Sanders,-8.198182473578695,0,
17110,James Kaprielian,-8.354550799035708,2,496.0
17111,Tyler Cyr,-8.354550799035708,2,
17112,J.D. Hammer,-8.864135642009847,1,
17113,Dietrich Enns,-8.865980267091677,4,
17114,Zack Weiss,-8.878464079859732,1,
17115,Hanser Alberto,-9.151370481255354,0,716.0
17116,Anthony Swarzak,-9.351975125006314,0,
17117,Luke Weaver,-9.417152434422984,1,
17118,Erick Fedde,-9.520187196513653,1,984.0
17119,Jeff Brigham,-9.611910104235243,3,
17120,Yusei Kikuchi,-9.916223330475505,3,424.8
17121,Chaz Roe,-10.930571169896385,6,
