,Name,Model_Projection_Sum_of_HR_R_RBI_SB,Actual_Sum_of_HR_R_RBI_SB,ADP
0,Salvador Perez,333.6,471,84.1
1,J.T. Realmuto,330.0,449,48.1
2,Will Smith,284.0,411,75.1
3,Will Smith,284.0,411,529.4
4,Christian Vazquez,268.4,273,304.8
8,Willson Contreras,251.4,361,116.4
9,Daulton Varsho,246.8,323,70.2
10,Sean Murphy,240.8,317,146.7
11,Yasmani Grandal,239.0,255,298.5
12,Gary Sanchez,237.8,305,520
13,Adley Rutschman,223.8,129,94.4
14,Mike Zunino,220.0,209,435.9
15,Omar Narvaez,218.0,182,535.5
16,James McCann,216.8,172,675
17,Jacob Stallings,216.8,196,554.6
18,Travis d'Arnaud,214.6,256,275.1
19,Yan Gomes,214.0,211,493
20,Martin Maldonado,209.2,238,556
21,Jonah Heim,208.2,194,295.2
22,Carson Kelly,207.8,219,515.6
23,Tucker Barnhart,206.8,157,769.3
24,Yadier Molina,205.6,207,
25,Tyler Stephenson,202.4,189,170.3
26,Elias Diaz,201.4,218,362.4
27,Alejandro Kirk,197.0,195,126.5
28,Austin Barnes,190.2,152,677
29,Danny Jansen,186.2,209,236.2
30,Mitch Garver,178.4,150,420
31,Luis Torrens,178.0,144,922.3
32,Jose Trevino,177.6,175,412.4
33,Francisco Mejia,176.2,134,488.6
34,Pedro Severino,176.2,134,992.3
35,Victor Caratini,175.2,177,650.8
36,Austin Nola,171.2,191,451.2
37,Cal Raleigh,169.0,158,211.7
38,Eric Haase,167.4,235,328.4
39,Nick Fortes,163.8,97,398
40,Keibert Ruiz,160.2,113,233.4
41,Max Stassi,160.2,203,573.6
42,MJ Melendez,159.6,139,151.4
43,Kurt Suzuki,155.8,103,
44,Ryan Jeffers,155.6,151,512.8
45,Tom Murphy,154.8,91,694
46,William Contreras,149.6,169,160.9
47,Kevin Plawecki,149.0,89,938
51,Francisco Mejia,144.6,149,488.6
52,Pedro Severino,144.6,149,992.3
53,Kyle Higashioka,141.0,148,598
54,Manny Pina,135.0,87,872.3
55,Joey Bart,131.8,96,351.1
56,Robinson Chirinos,131.6,82,952.3
57,Jorge Alfaro,127.4,170,622.8
58,Tomas Nido,127.4,107,861.5
59,Curt Casali,124.8,119,755
63,Riley Adams,123.8,54,861
64,Roberto Perez,122.2,68,826.7
65,Jason Castro,120.4,81,
66,Christian Bethancourt,119.0,89,401.7
70,Austin Wynns,119.0,71,
71,Andrew Knizner,117.2,90,809.5
72,Stephen Vogt,115.4,119,
73,Dom Nunez,109.2,79,
74,Seby Zavala,108.2,80,723
75,Zack Collins,104.0,81,
79,Austin Hedges,96.2,156,811.8
80,Michael Perez,96.2,99,
84,P.J. Higgins,95.6,60,890
85,Austin Romine,94.4,64,
94,Reese McGuire,83.0,88,537.4
98,Sandy Leon,79.2,53,
102,Andrew Knapp,76.0,60,
