Name,Model_Projection_Sum_of_HR_R_RBI_SB,Position,Proj_Position_Rank
Willians Astudillo,138.6789101,3B,53
Kelvin Gutierrez,121.3078385,3B,54
Matt Reynolds,118.1380001,3B,55
Vimael Machin,114.41042,3B,56
Salvador Perez,307.6148059,C,1
J.T. Realmuto,306.4416255,C,2
Will Smith,292.8258504,C,3
Willson Contreras,285.8243939,C,4
Sean Murphy,263.1945788,C,5
Daulton Varsho,243.5018138,C,6
Christian Vazquez,238.9305177,C,7
Gary Sanchez,232.6324917,C,8
Travis d'Arnaud,221.7973947,C,9
Yasmani Grandal,221.5980698,C,10
Alejandro Kirk,207.7408042,C,11
Eric Haase,203.8226372,C,12
Jacob Stallings,199.6157022,C,13
Tyler Stephenson,196.9109693,C,14
Elias Diaz,196.8719078,C,15
William Contreras,196.4116355,C,16
Carson Kelly,192.3835306,C,17
Martin Maldonado,192.2070497,C,18
Austin Nola,191.8946196,C,19
Max Stassi,190.95256,C,20
Yan Gomes,190.6261167,C,21
Omar Narvaez,190.5150486,C,22
Danny Jansen,189.7713636,C,23
Mike Zunino,188.6123188,C,24
Victor Caratini,186.572354,C,25
Yadier Molina,181.4369693,C,26
Mitch Garver,179.7594212,C,27
Jonah Heim,179.5821527,C,28
Jorge Alfaro,176.5242876,C,29
James McCann,176.4401423,C,30
Jose Trevino,175.7698388,C,31
Adley Rutschman,175.6279168,C,32
Tucker Barnhart,175.3371665,C,33
Cal Raleigh,172.7982943,C,34
Luis Torrens,170.448662,C,35
Pedro Severino,169.677096,C,36
Francisco Mejia,169.677096,C,37
Ryan Jeffers,169.4393722,C,38
Francisco Mejia,165.6014571,C,39
Pedro Severino,165.6014571,C,40
MJ Melendez,165.5241806,C,41
Curt Casali,160.1070309,C,42
Keibert Ruiz,154.9791375,C,43
Austin Barnes,154.4616266,C,44
Kyle Higashioka,150.4421921,C,45
Kevin Plawecki,143.3856595,C,46
Kurt Suzuki,142.797392,C,47
Joey Bart,142.2560925,C,48
Nick Fortes,141.9560149,C,49
Tom Murphy,139.2685226,C,50
Tomas Nido,138.417831,C,51
Christian Bethancourt,137.3502305,C,52
Reese McGuire,136.9996034,C,53
Austin Hedges,136.2799793,C,54
Jason Castro,135.159672,C,55
Stephen Vogt,134.6358145,C,56
Manny Pina,130.1514002,C,57
Seby Zavala,127.9642755,C,58
Dom Nunez,127.1617007,C,59
Andrew Knizner,126.0191875,C,60
Robinson Chirinos,125.8064075,C,61
Zack Collins,123.7221251,C,62
Riley Adams,118.6100594,C,63
Austin Wynns,111.6408072,C,64
Michael Perez,111.1779336,C,65
Roberto Perez,110.6949214,C,66
