,Name,Model_Projection_Sum_of_HR_R_RBI_SB,Actual_Sum_of_HR_R_RBI_SB,ADP
0,Trea Turner,465.32987020090405,604,2.9
1,Xander Bogaerts,422.88462927126494,460,73.2
2,Dansby Swanson,409.3839340074965,539,75.5
3,Corey Seager,403.81610754461286,433,42.8
4,Bo Bichette,403.55318433643856,548,16.3
5,Willy Adames,393.9442228675408,462,84.7
6,Trevor Story,389.0607654032442,450,338.3
7,Carlos Correa,386.7348325513979,430,101.5
8,Francisco Lindor,375.70975782193915,484,31.3
9,Jorge Polanco,370.2686065048234,417,163.3
10,Tim Anderson,361.2799712000249,365,70.9
11,Javier Baez,355.90731975112817,435,182
12,Brandon Crawford,347.149404826246,379,377.5
13,Gleyber Torres,334.6738130861499,344,107
14,Amed Rosario,328.2707927381633,383,133.9
15,Andres Gimenez,321.42461325622105,272,77.1
16,J.P. Crawford,316.45392965411503,328,354.2
17,Kyle Farmer,314.0366539678889,304,635.8
18,Elvis Andrus,313.40306990467127,295,290.7
22,Isiah Kiner-Falefa,310.4640692830497,344,611.7
23,Jose Iglesias,308.3914074534488,270,774.8
24,Wander Franco,297.7737938864051,194,82
25,Nicky Lopez,290.18180515040865,258,559
26,Miguel Rojas,289.68731663963354,270,432.2
27,Didi Gregorius,274.44024410076156,230,
28,Jorge Mateo,268.8638873867867,215,273.3
29,Paul DeJong,267.3761800589009,211,959
30,Jeremy Pena,266.05676241878166,168,113.7
31,Kevin Newman,260.76097363139786,188,500.6
32,Oneil Cruz,258.88406725281936,132,77.5
33,Luis Rengifo,254.0394204693511,186,289
34,Nick Ahmed,249.8720027348525,180,642.2
35,Edmundo Sosa,244.4994813882456,131,584
39,Sergio Alcantara,229.0983505319889,121,
43,Bryson Stott,228.42950025579438,129,246
44,Niko Goodrum,227.85682427010602,146,
45,Taylor Walls,225.77467367711643,139,723.6
46,Alcides Escobar,219.763661357363,109,
47,Diego Castillo,218.6489307752766,69,468.9
48,Diego Castillo,218.6489307752766,69,"1,012.00"
49,Andrew Velazquez,200.67685967258643,131,"1,082.00"
50,Geraldo Perdomo,198.1790700722124,118,852
51,Andrelton Simmons,188.2342554866458,122,
52,CJ Abrams,182.65074919887948,63,222.3
56,Nick Allen,169.03171226810173,57,807.3
57,Jose Barrero,141.72915224075984,44,775.5
