,Name,Model_Projection_Sum_of_HR_R_RBI_SB,Actual_Sum_of_HR_R_RBI_SB,ADP
0,Marcus Semien,393.3769232923074,574,34.6
1,Jose Altuve,383.3342404710031,499,130.9
2,Max Muncy,350.0971519042263,464,123.6
3,Brandon Lowe,340.9445600203255,397,143
4,Jake Cronenworth,337.08822084712733,439,173.2
5,Tommy Edman,330.55224101161957,447,87.1
6,Chris Taylor,326.158125796367,379,263.8
7,Ozzie Albies,318.7889484022487,390,46.4
8,Whit Merrifield,314.99603698895237,465,198.4
12,Ty France,309.68512376106594,390,164.4
13,Kolten Wong,309.5235937974339,338,229.5
14,Jeff McNeil,305.06061124030924,287,164.4
15,Ketel Marte,291.8730586745421,294,168.9
16,Cesar Hernandez,291.24022057797777,335,857.8
17,Jean Segura,290.1380136190777,320,198
18,Josh Rojas,286.8932986594649,299,221.8
19,Jonathan India,286.5098461149587,302,158.2
20,Tony Kemp,286.0542693302814,254,376.3
21,Enrique Hernandez,284.47424455125554,309,
22,Luis Arraez,278.50547807016403,282,181.6
23,Adam Frazier,270.75732201119786,311,446.4
24,Jonathan Schoop,267.16639398662824,352,346.8
25,Gavin Lux,263.50479669685075,247,
26,Matt Carpenter,260.35278147554334,174,428.3
27,Dylan Moore,259.8790054014199,273,507.5
28,Brendan Rodgers,251.25820892396757,266,341.4
29,Thairo Estrada,250.348716227985,230,181.7
30,Rougned Odor,247.66111573736703,272,908.3
31,Josh Harrison,247.26589427861438,250,754.6
32,Jace Peterson,246.42527585478024,195,501.5
33,Garrett Hampson,245.93669488193757,235,789.5
34,Jon Berti,244.02053101150122,232,291.8
35,Donovan Solano,239.39809624674876,179,903.5
36,Ramon Urias,238.25700779462173,204,406.3
37,Nico Hoerner,237.2781439684909,214,159.2
38,Hanser Alberto,235.49677862607348,147,
39,David Fletcher,234.70701762468812,232,583.8
40,Nick Solak,232.79490667118571,207,900.5
41,Willi Castro,228.42436150611968,258,978
42,Mike Brosseau,225.45008242784067,123,"1,012.30"
43,Leury Garcia,215.32067646166388,205,"1,086.30"
44,Tommy La Stella,214.1323236866341,155,907.3
45,Brendan Donovan,211.64622888655867,116,278.3
46,Jed Lowrie,209.81215500411497,172,
47,Michael Chavis,205.47911148467222,177,"1,031.30"
48,Christian Arroyo,204.21185152494053,151,481.6
49,Harold Castro,202.19036955728748,176,843.3
50,David Bote,199.92760613725216,160,"1,057.70"
51,Luis Garcia,198.59858643596147,178,173.9
52,Luis Garcia,198.59858643596147,178,310.3
53,Luis Garcia,198.59858643596147,178,516.3
54,Rodolfo Castro,195.73990118477684,90,425.5
55,Mauricio Dubon,195.39241261504299,157,848.8
59,Josh VanMeter,195.36052339444802,125,
60,Zach McKinstry,191.89410379770726,104,842.5
64,Wilmer Difo,188.2755903341669,56,
65,Marwin Gonzalez,184.9768482192784,155,
66,Andy Ibanez,182.84771869806457,89,
67,Robinson Cano,180.9879396311859,73,
76,Owen Miller,180.3229121335991,153,903
77,Nick Madrigal,170.49420389303748,104,601.3
78,Danny Mendick,170.41673333741056,97,"1,008.30"
79,Johan Camargo,154.16277329535512,56,
80,Josh Smith,146.1244787439339,45,876
81,Ernie Clement,133.896154872819,53,
85,Sheldon Neuse,130.9513786109292,75,"1,108.30"
