,Name,Model_Projection_Fantasy_Points,Actual_Fantasy_Points,ADP
0,Salvador Perez,1074.178690637027,904,76.2
1,J.T. Realmuto,961.0388987661786,859,35.6
2,Daulton Varsho,959.3026252756218,614,52.8
3,Gary Sanchez,936.3730562548744,513,311.8
4,Mike Zunino,925.9648996781928,308,440.0
5,Willson Contreras,872.0840869943357,687,118.0
6,Will Smith,861.2494594463894,892,56.8
7,Will Smith,861.2494594463894,892,460.0
8,Sean Murphy,803.7115236732401,670,128.0
9,Jonah Heim,798.2100855911968,404,285.2
10,Danny Jansen,764.4621423435368,420,215.8
11,Cal Raleigh,721.7069377520135,286,198.8
12,Elias Diaz,705.5813195006292,472,362.8
13,Manny Pina,636.9548209988455,167,644.5
14,Dom Nunez,624.4594212265998,130,
15,Eric Haase,577.5716573164566,402,321.6
16,Max Stassi,575.4946390528689,342,576.0
17,Tom Murphy,574.9828247904762,149,543.5
18,Austin Barnes,568.3001058145379,276,600.3
19,Michael Perez,567.4899921710929,137,
23,Yasmani Grandal,560.1464435684672,522,300.6
24,Yadier Molina,556.0261903378919,425,
25,Mitch Garver,551.3310801812926,275,361.5
26,Kyle Higashioka,545.3041569802756,262,594.7
27,William Contreras,528.103083342992,325,132.8
28,Austin Hedges,516.5653691115662,207,697.7
29,Stephen Vogt,514.9545296459079,211,
30,Carson Kelly,514.3238399896005,437,423.2
31,Nick Fortes,498.4457456365873,178,394.7
32,Alejandro Kirk,495.22706791034886,504,109.4
33,Christian Vazquez,494.08608160560016,603,277.4
37,Ryan Jeffers,491.6625266803908,242,498.5
38,Robinson Chirinos,482.7075195729906,128,
39,Martin Maldonado,481.7289506263123,351,499.3
40,Francisco Mejia,481.38221134230514,313,503.0
41,Pedro Severino,481.38221134230514,313,
42,Travis d'Arnaud,463.57300209543155,519,233.6
43,Curt Casali,441.7243270375491,214,
47,Kurt Suzuki,435.0106515143441,229,
48,Austin Nola,429.99454197495913,436,382.8
49,Victor Caratini,416.7392606756233,335,681.0
50,Yan Gomes,416.47697107722627,431,459.5
51,MJ Melendez,402.2964730665034,279,111.4
52,Jose Trevino,397.23418868099634,366,343.2
53,Andrew Knizner,371.26884332783357,169,724.0
54,Joey Bart,371.0687659961434,113,348.6
55,Keibert Ruiz,361.89679804689285,295,209.2
56,Omar Narvaez,349.2472129626358,391,458.0
57,Pedro Severino,335.88910281543076,270,
58,Francisco Mejia,335.88910281543076,270,503.0
59,Roberto Perez,327.2114091405783,81,640.5
60,Luis Torrens,320.6270780846787,272,
61,Jacob Stallings,305.3164439920115,407,584.0
62,Adley Rutschman,303.7280760598801,321,65.2
63,Christian Bethancourt,287.83822425319886,168,368.6
67,Riley Adams,245.1911383268773,90,
68,Tucker Barnhart,241.90918876422143,296,617.0
69,James McCann,232.2103206344143,286,639.3
70,Zack Collins,185.99816397968448,128,"1,052.5"
74,Austin Romine,174.8803379490546,61,
83,Kevin Plawecki,163.32243321895635,216,
87,Austin Wynns,163.12412945843494,129,
88,Jorge Alfaro,148.35517815249364,226,523.3
89,Tomas Nido,144.72160765387594,180,702.7
90,Sandy Leon,115.13354548613574,73,
94,Jason Castro,81.18692259747627,127,
95,Andrew Knapp,74.97129863390228,76,
104,Seby Zavala,67.4655487916109,120,747.5
105,Reese McGuire,57.173190097164934,200,533.7
109,P.J. Higgins,-29.012733792627614,108,764.5
110,Tyler Stephenson,-52.08459848110556,385,170.4
