,Name,Model_Projection_Fantasy_Points,Actual_Fantasy_Points,ADP
107,Cal Quantrill,-79.69122427622767,-32.0,278.6
108,Merrill Kelly,-81.43104696312321,-64.80000000000001,203.0
109,Adrian Sampson,-81.7593644873815,-37.8,608.0
110,Drew Smyly,-82.3963585446424,-59.89999999999998,417.0
111,Kutter Crawford,-83.26569853077848,-66.9,612.5
112,Zach Eflin,-85.70832775096994,-56.0,340.8
113,Austin Voth,-87.55574910759765,-59.0,608.0
114,Elieser Hernandez,-87.6532441626178,-49.0,561.5
115,Ian Anderson,-89.2572715063663,-53.89999999999998,420.8
116,Chris Paddack,-90.97828340101938,-81.80000000000001,728.3
117,Jesus Luzardo,-92.08423788472703,-59.0,139.2
118,Steven Brault,-92.4383471320034,-36.900000000000006,
119,Caleb Smith,-92.4578321188153,-88.0,
120,Rich Hill,-92.4633739911232,-82.80000000000001,572.5
121,Casey Mize,-92.55980998528861,-97.80000000000001,761.0
122,David Peterson,-92.91596515404109,-62.900000000000006,356.0
123,Kyle Bradish,-93.78265237399097,-77.8,331.0
124,Ross Stripling,-94.1413539946264,-43.0,274.4
125,Brady Singer,-94.65490076276978,-87.89999999999998,184.2
126,Wily Peralta,-95.4511596562993,-43.900000000000006,
127,Justin Steele,-96.1643532670397,-45.80000000000001,305.8
128,Trevor Rogers,-96.9076342672106,-65.0,280.6
129,James Kaprielian,-98.25652909414208,-90.9,496.0
130,Chase De Jong,-98.32903465448982,-69.9,
131,Alex Wood,-98.53196893551785,-77.89999999999998,377.0
132,Jose Quintana,-98.77012273651059,-68.80000000000001,333.8
133,Konnor Pilkington,-98.84186267138386,-38.0,914.0
134,Griffin Jax,-98.89029833717501,-71.9,664.5
135,Frankie Montas,-100.2890848127681,-47.89999999999998,284.4
136,JP Sears,-100.84024972367203,-34.8,434.0
137,Corey Kluber,-101.29846142701803,-73.0,303.6
138,Beau Brieske,-103.99367210601181,-45.8,734.0
139,Tyler Anderson,-106.41045639962019,-85.80000000000001,214.2
140,Jameson Taillon,-107.72867971865799,-42.80000000000001,252.0
141,Adrian Martinez,-107.8664892359601,-64.8,872.0
142,Wade Miley,-108.79851562277389,-75.9,477.0
143,Luis Patino,-109.56539822658593,-87.0,527.3
144,Braxton Garrett,-111.42741898389983,-59.80000000000001,345.7
145,Jaime Barria,-112.1551823761022,-52.900000000000006,
146,Trevor Cahill,-112.30940395830939,-54.8,
147,Tarik Skubal,-112.97464702833173,-42.89999999999998,386.6
148,Carlos Carrasco,-113.78120032109419,-57.80000000000001,262.6
149,Matthew Boyd,-114.3281972820383,-109.0,442.0
150,Nick Pivetta,-114.78056408294123,-105.80000000000001,338.3
151,Keegan Thompson,-114.90244059220194,-80.8,479.0
152,Josiah Gray,-115.18825977814137,-114.9,360.4
153,Andre Pallante,-116.02263852296434,-31.9,785.0
154,Austin Gomber,-116.04629719947121,-107.80000000000001,
155,Michael Wacha,-116.07342364734768,-68.80000000000001,352.2
156,Tyler Gilbert,-116.25066468397793,-40.8,
157,Jon Gray,-117.33876153105479,-119.89999999999998,205.6
158,Jose Suarez,-117.95299598749062,-104.80000000000001,351.5
159,Luke Weaver,-119.13038704300266,-108.9,
160,Zach Plesac,-119.39436052172437,-124.80000000000001,453.8
161,Dakota Hudson,-120.32107902887904,-116.80000000000001,697.5
162,Aaron Civale,-120.44181173474894,-84.89999999999998,332.6
163,Noah Syndergaard,-122.37808972564719,-65.80000000000001,306.8
