,Model Name,Mean Square Error,Mean Absolute Error,R2 Score
0,LinearRegression,101315.40148258378,101315.40148258378,-16.06571671941321
3,BayesianRidge,7603.466143829106,7603.466143829106,-0.28073913143938234
5,RandomForestRegressor,5604.321413228559,5604.321413228559,0.05599977650840182
6,KNeighborsRegressor,5311.214597142857,5311.214597142857,0.10537112399013293
4,ElasticNet,3112.516447361672,3112.516447361672,0.47572310628093795
7,MLPRegressor,2607.9798933545158,2607.9798933545158,0.560707992875452
2,Lasso,2054.829761734205,2054.829761734205,0.653881422693633
1,Ridge,1367.0113754883146,1367.0113754883146,0.7697385733568922
