,Name,Model_Projection_Fantasy_Points,Actual_Fantasy_Points,ADP
0,Shohei Ohtani,1058.3924185302517,1110,9.6
1,J.D. Martinez,952.7718412384643,926,196.0
2,Nelson Cruz,770.8901340905867,792,414.4
3,Franmil Reyes,636.1628359437391,596,351.8
7,Yermin Mercedes,181.66140930815956,191,
