,Model Name,Mean Square Error,Mean Absolute Error,R2 Score
2,Lasso,2821.403893539157,2821.403893539157,-0.037774202944898194
7,MLPRegressor,2868.486008083891,2868.486008083891,-0.055092036809985645
5,RandomForestRegressor,2881.1830233097953,2881.1830233097953,-0.05976227735442352
4,ElasticNet,3063.934072826621,3063.934072826621,-0.12698211964072792
1,Ridge,3123.7747745542406,3123.7747745542406,-0.1489928415658135
6,KNeighborsRegressor,3575.805815945331,3575.805815945331,-0.31525976802757083
3,BayesianRidge,6165.647316263598,6165.647316263598,-1.2678602464280617
0,LinearRegression,253049.53791279744,253049.53791279744,-92.07716740392438
