Name,Position,Model_Projection_Sum_of_HR_R_RBI_SB,Actual_Sum_of_HR_R_RBI_SB,ADP,Position_Model_Proj_Scaled,Modej_Proj_Scaled,Position_Actuals_Scaled,Actuals_Scaled,OVR_Scaled_Score,Position_Batter_Ranking,Overall_Batter_Ranking
Ryan Mountcastle,1B,362.786086,416,125.8,0.589199446,0.62414149,0.64874552,0.603252033,0.143919138,12,56
Hunter Renfroe,OF,316.0286291,431,145,0.654612694,0.52238178,0.657986111,0.627642276,0.141221675,25,57
Adolis Garcia,OF,303.5550806,455,60.1,0.610763262,0.495235208,0.699652778,0.666666667,0.141083337,35,58
Matt Chapman,3B,353.3385802,422,137.5,0.618336376,0.603580589,0.608552632,0.61300813,0.139227312,9,59
Andrew McCutchen,OF,314.3622355,431,296.8,0.648754665,0.518755156,0.657986111,0.627642276,0.138986249,27,60
Chris Taylor,2B,326.1581258,379,263.8,0.743855738,0.544426919,0.631379962,0.543089431,0.13886425,7,61
Ozzie Albies,2B,318.7889484,390,46.4,0.715774716,0.528389149,0.652173913,0.56097561,0.138368632,8,62
Christian Walker,1B,365.4608229,404,112,0.597849995,0.629962603,0.627240143,0.583739837,0.137898702,11,63
Mark Canha,OF,327.1490468,405,304.7,0.693705339,0.546583492,0.612847222,0.585365854,0.136022626,19,64
Brandon Crawford,SS,347.1494048,379,377.5,0.696483301,0.590110894,0.598214286,0.543089431,0.133528039,13,65
Tim Anderson,SS,361.2799712,365,70.9,0.715087271,0.620863685,0.573214286,0.520325203,0.132418046,11,66
Ian Happ,OF,326.4391478,401,146.6,0.691209764,0.545038516,0.605902778,0.578861789,0.132134092,20,67
Mike Yastrzemski,OF,315.0737503,413,284.1,0.651255919,0.520303648,0.626736111,0.598373984,0.127076714,26,68
Ty France,2B,309.6851238,390,164.4,0.68108364,0.508576212,0.652173913,0.56097561,0.126725465,10,69
Mike Trout,OF,345.4409344,362,15.2,0.758008522,0.586392696,0.538194444,0.515447154,0.123306508,14,70
Amed Rosario,SS,328.2707927,383,133.9,0.66586376,0.549024782,0.605357143,0.549593496,0.121627165,15,71
Charlie Blackmon,OF,312.1495537,409,248,0.640976217,0.513939628,0.619791667,0.591869919,0.120844259,28,72
Alex Verdugo,OF,319.873769,392,174.1,0.668129874,0.530750078,0.590277778,0.564227642,0.118103223,24,73
Ryan McMahon,3B,337.0686307,414,183.4,0.573334961,0.568171791,0.595394737,0.6,0.116370884,11,74
Alex Bregman,3B,360.3033113,379,63.1,0.637600281,0.61873815,0.537828947,0.543089431,0.115231421,7,75
Christian Yelich,OF,309.5248921,405,102.1,0.631749499,0.508227495,0.612847222,0.585365854,0.115181484,31,76
Franmil Reyes,DH,371.6895855,352,479.6,0.639726284,0.643518453,0.552301255,0.499186992,0.113499641,4,77
Tyler O'Neill,OF,303.382842,409,98.2,0.610157776,0.49486036,0.619791667,0.591869919,0.110763538,36,78
Randal Grichuk,OF,303.1176069,404,255.6,0.60922537,0.494283121,0.611111111,0.583739837,0.10742201,37,79
Anthony Santander,OF,310.7406969,390,107.9,0.636023531,0.510873489,0.586805556,0.56097561,0.106960825,30,80
Giancarlo Stanton,OF,311.5268163,386,115.3,0.638787051,0.512584345,0.579861111,0.554471545,0.105274864,29,81
Jesse Winker,OF,328.1931112,354,233.6,0.697375636,0.548855721,0.524305556,0.502439024,0.100830702,18,82
Joey Votto,1B,362.2148581,357,313.9,0.587351999,0.622898309,0.543010753,0.507317073,0.100786766,13,83
Eduardo Escobar,3B,335.9032634,390,311.3,0.570111645,0.565635566,0.555921053,0.56097561,0.100566589,13,84
Gleyber Torres,SS,334.6738131,344,107,0.683195123,0.562959875,0.535714286,0.486178862,0.100173189,14,85
Joey Gallo,OF,303.5575851,389,327.9,0.610772066,0.495240659,0.585069444,0.559349593,0.098988833,34,86
Willson Contreras,C,251.4,361,116.4,0.680900621,0.381728482,0.736842105,0.513821138,0.098406707,6,87
Yuli Gurriel,1B,352.9271769,357,603.8,0.557314073,0.602685239,0.543010753,0.507317073,0.092529129,15,88
Kolten Wong,2B,309.5235938,338,229.5,0.680468113,0.508224669,0.553875236,0.476422764,0.091257375,11,89
Brandon Nimmo,OF,326.0524565,337,151.5,0.689850392,0.544196948,0.494791667,0.474796748,0.088194424,21,90
Adam Duvall,OF,287.7346248,393,295,0.555148134,0.460804658,0.592013889,0.565853659,0.08569624,47,91
Wilmer Flores,3B,332.6117279,366,338.9,0.561007514,0.558472095,0.516447368,0.52195122,0.084455151,16,92
Carlos Santana,1B,341.9397631,359,366.8,0.521778927,0.578772988,0.546594982,0.510569106,0.084278144,17,93
DJ LeMahieu,3B,327.9457759,372,249.5,0.548101854,0.548317438,0.526315789,0.531707317,0.08410317,18,94
Isiah Kiner-Falefa,SS,310.4640693,344,611.7,0.608524894,0.510271455,0.535714286,0.486178862,0.080874,20,95
Trent Grisham,OF,292.0707118,374,285.1,0.570391186,0.470241419,0.559027778,0.53495935,0.080213572,42,96
Robbie Grossman,OF,298.7090445,358,492.2,0.593727538,0.484688629,0.53125,0.508943089,0.077806914,38,97
Jared Walsh,1B,335.3991422,355,284.1,0.500625458,0.564538431,0.539426523,0.504065041,0.076846717,19,98
J.P. Crawford,SS,316.4539297,328,354.2,0.628860881,0.523307375,0.507142857,0.460162602,0.076798558,17,99
Cesar Hernandez,2B,291.2402206,335,857.8,0.610797406,0.468433995,0.548204159,0.471544715,0.073962366,14,100
Austin Hays,OF,298.1363421,349,236.6,0.591714264,0.483442239,0.515625,0.494308943,0.07291033,39,101
Josh Donaldson,3B,334.2635142,340,389,0.565576227,0.562066929,0.473684211,0.479674797,0.072229563,15,102
Daulton Varsho,C,246.8,323,70.2,0.663043478,0.371717359,0.645933014,0.45203252,0.071963456,7,103
Jeimer Candelario,3B,336.0517057,337,339.5,0.570522225,0.565958625,0.46875,0.474796748,0.071863153,12,104
Tommy Pham,OF,287.7369921,363,311.5,0.555156456,0.46080981,0.539930556,0.517073171,0.07142118,46,105
Joc Pederson,OF,305.5310782,334,216.8,0.617709671,0.499535633,0.489583333,0.469918699,0.070990499,33,106
Jean Segura,2B,290.1380136,320,198,0.606597331,0.466035228,0.519848771,0.447154472,0.065713385,15,107
Jesus Aguilar,1B,325.7014824,344,457.7,0.469261593,0.543433112,0.519713262,0.486178862,0.064434873,22,108
Sean Murphy,C,240.8,317,146.7,0.639751553,0.358659372,0.631578947,0.442276423,0.064093644,8,109
Byron Buxton,OF,306.7527633,317,83.8,0.622004375,0.502194425,0.460069444,0.442276423,0.063559798,32,110
Kyle Farmer,SS,314.036654,304,635.8,0.626494461,0.518046583,0.464285714,0.421138211,0.063459408,18,111
Yandy Diaz,3B,345.3133053,309,233.3,0.59613909,0.586114933,0.422697368,0.429268293,0.063399925,10,112
Luke Voit,1B,329.8441596,334,520.2,0.482659709,0.55244895,0.501792115,0.469918699,0.062875255,21,113
Jonathan Schoop,2B,267.166394,352,346.8,0.519061571,0.416041376,0.580340265,0.499186992,0.062560666,22,114
