,Model Name,Position,Mean Square Error,Mean Absolute Error,R2 Score
4,ElasticNet,C,7112.621916944366,7112.621916944366,-3.1451719675049734
15,MLPRegressor,1B,29884.69338932955,29884.69338932955,-7.860069642117423
20,ElasticNet,2B,18335.471058572188,18335.471058572188,-9.023375115293767
28,ElasticNet,3B,27480.150633918773,27480.150633918773,-8.324173648011406
36,ElasticNet,SS,26393.466243098836,26393.466243098836,-8.2216697787009
44,ElasticNet,OF,16250.893265532695,16250.893265532695,-5.840538376195578
50,Lasso,DH,26272.64764110554,26272.64764110554,-11.349883254881894
