,Name,Model_Projection_Sum_of_HR_R_RBI_SB,Actual_Sum_of_HR_R_RBI_SB,ADP
0,Shohei Ohtani,535.4888990472161,566,10.3
1,J.D. Martinez,454.4569627892037,430,179.7
2,Nelson Cruz,395.3608275937633,410,399.1
3,Franmil Reyes,371.68958552968587,352,479.6
7,Yermin Mercedes,80.8364882795027,88,
