,Model Name,Mean Square Error,Mean Absolute Error,R2 Score
4,ElasticNet,24.22242445142365,24.22242445142365,-0.4090495502050939
2,Lasso,34.15454667648537,34.15454667648537,-0.986813860374413
6,KNeighborsRegressor,35.37114285714285,35.37114285714285,-1.057584823230524
1,Ridge,92.76897571801834,92.76897571801834,-4.396490502864518
5,RandomForestRegressor,99.501635,99.501635,-4.788137943110857
3,BayesianRidge,100.57853351354474,100.57853351354474,-4.850782513193831
0,LinearRegression,100.57855523161761,100.57855523161761,-4.850783776562033
7,MLPRegressor,105.58225669552439,105.58225669552439,-5.141855519244836
