,Model Name,Mean Square Error,Mean Absolute Error,R2 Score
7,MLPRegressor,0.43027038918267835,0.43027038918267835,0.6766357206972349
6,KNeighborsRegressor,0.9946230000000001,0.9946230000000001,0.2525036403646107
1,Ridge,1.3760047748455946,1.3760047748455946,-0.034119017997769285
5,RandomForestRegressor,1.9068004754999963,1.9068004754999963,-0.43303182611630375
2,Lasso,2.034009910415939,2.034009910415939,-0.5286344710490489
4,ElasticNet,2.034009910415939,2.034009910415939,-0.5286344710490489
3,BayesianRidge,2.9242340474289947,2.9242340474289947,-1.197671183126706
0,LinearRegression,3.0025452055407413,3.0025452055407413,-1.256524945413886
