,Name,Model_Projection_Sum_of_W_SV_HLD,Actual_Sum_of_W_SV_HLD,ADP,ADP
142,Justin Steele,11.439084033361382,6,271.7,289.0
143,Mike Clevinger,11.424983265609766,10,352.5,353.0
144,Alec Mills,11.392540141026673,9,,
145,Dean Kremer,11.390730609518537,9,557,480.0
146,Noah Syndergaard,11.377044493023341,10,305.4,254.0
147,Bailey Ober,11.373274294608343,5,298.3,388.0
148,J.A. Happ,11.316306220657081,12,,
149,Danny Duffy,11.314487999961594,8,718.5,928.0
150,Michael Lorenzen,11.307480849271084,9,526,545.0
151,Braxton Garrett,11.29683649634152,5,394.6,452.0
152,Huascar Ynoa,11.263524763148812,4,,
153,Dustin May,11.257788815283075,5,156.7,147.0
154,Josiah Gray,11.231184842652,9,370.2,346.0
155,Ryan Yarbrough,11.219392344849396,5,975,772.0
156,Domingo German,11.218341062480192,6,348.8,356.0
157,Daniel Lynch,11.199873531656479,8,616.2,610.0
158,Joe Ross,11.18394136910793,5,,
159,Kwang-hyun Kim,11.181227388115245,9,,
160,Paul Blackburn,11.177717086361953,8,704.8,588.0
161,Casey Mize,11.177458863022052,7,772.7,838.0
162,Aaron Ashby,11.173765380522484,3,290.5,369.0
163,Dakota Hudson,11.166664898467275,11,750.7,724.0
164,Adbert Alzolay,11.160243963752405,5,419.7,554.0
165,Trevor Williams,11.15479837180069,8,845.8,739.0
166,Brett Anderson,11.133060608654658,8,,
167,Justus Sheffield,11.112638562853343,10,"1,019.30",
168,Michael Kopech,11.10950562904934,6,265.8,269.0
169,Paolo Espino,11.094382992966114,5,"1,023.00",776.0
170,Jakob Junis,11.09343406010965,4,629,636.0
171,Brayan Bello,11.091639550129,2,345.1,347.0
172,Bailey Falter,11.081980797200274,6,428.2,473.0
173,Josh Fleming,11.060757881521974,8,,
174,Garrett Richards,11.053741924815984,8,,
175,Matthew Boyd,11.053690338878788,6,423.4,363.0
176,Vince Velasquez,11.01968175603186,6,820.5,
177,Luke Weaver,10.990394415725216,4,,
178,Bryce Elder,10.969358914109787,2,578.6,559.0
179,Austin Voth,10.968789326025487,6,856,689.0
180,Kyle Bradish,10.966474576143685,4,329.4,398.0
181,Griffin Canning,10.961849631134333,6,742.7,622.0
182,Glenn Otto,10.956972623669667,7,637.2,626.0
183,Jon Lester,10.951141946025164,10,,
184,Graham Ashcraft,10.908145532323303,5,453.9,375.0
185,Matt Manning,10.901884319159672,6,598.7,530.0
186,Jake Arrieta,10.897240889913189,9,,
187,Edward Cabrera,10.896280670650965,6,222.9,228.0
188,Andre Pallante,10.893898044992854,3,775.3,847.0
189,Taylor Hearn,10.879296183121609,8,884,
190,Zach Thompson,10.876037728560945,4,,
191,Rick Porcello,10.857795995054088,1,,
192,Tyler Wells,10.85503609172339,7,555.3,571.0
193,Elieser Hernandez,10.853835015923586,4,602,735.0
194,MacKenzie Gore,10.838651418217697,4,367.8,333.0
195,Jorge Lopez,10.826621065484161,5,253.8,244.0
196,Vladimir Gutierrez,10.820931689683967,10,,
197,Bryse Wilson,10.818882215968395,7,838,742.0
198,Matt Harvey,10.817610288945806,6,,
199,Roansy Contreras,10.806679759299406,4,272.9,349.0
200,Adrian Sampson,10.797448984922438,5,762.5,681.0
201,Randy Dobnak,10.768304751273407,7,,
202,Spenser Watkins,10.741649687896604,6,,
203,Jose Urena,10.733345880342199,5,,
204,Eli Morgan,10.729690495952562,5,641,793.0
205,Chris Archer,10.723432074322885,3,991.7,925.0
206,Aaron Sanchez,10.709938054730864,4,,
207,Trevor Cahill,10.707012514784047,1,,
208,Keegan Akin,10.705102812955992,3,695.7,825.0
209,Steven Brault,10.65229165621684,1,,
